Tháng,Loại (nghìn đồng/ lượng),Mua,Mua,Bán,Bán
,,mean,std,mean,std
2024-11,Biên Hòa,83980.95238095238,8304.132648724913,86852.38095238095,8022.5070300760135
2024-11,Bạc Liêu,83980.95238095238,8304.132648724913,86852.38095238095,8022.5070300760135
2024-11,Cà Mau,83980.95238095238,8304.132648724913,86852.38095238095,8022.5070300760135
2024-11,Huế,83980.95238095238,8304.132648724913,86852.38095238095,8022.5070300760135
2024-11,Hạ Long,83980.95238095238,8304.132648724913,86852.38095238095,8022.5070300760135
2024-11,Hải Phòng,83980.95238095238,8304.132648724913,86852.38095238095,8022.5070300760135
2024-11,Hồ Chí Minh,83980.95238095238,8304.132648724913,86852.38095238095,8022.5070300760135
2024-11,Miền Bắc,83980.95238095238,8304.132648724913,86852.38095238095,8022.5070300760135
2024-11,Miền Trung,83980.95238095238,8304.132648724913,86852.38095238095,8022.5070300760135
2024-11,Miền Tây,83980.95238095238,8304.132648724913,86852.38095238095,8022.5070300760135
2024-11,Nha Trang,83980.95238095238,8304.132648724913,86852.38095238095,8022.5070300760135
2024-11,Quảng Ngãi,83980.95238095238,8304.132648724913,86852.38095238095,8022.5070300760135
2024-12,Biên Hòa,86403.2258064516,11034.324745114454,88629.03225806452,10970.967552237955
2024-12,Bạc Liêu,86403.2258064516,11034.324745114454,88629.03225806452,10970.967552237955
2024-12,Cà Mau,86403.2258064516,11034.324745114454,88629.03225806452,10970.967552237955
2024-12,Huế,86403.2258064516,11034.324745114454,88629.03225806452,10970.967552237955
2024-12,Hạ Long,86403.2258064516,11034.324745114454,88629.03225806452,10970.967552237955
2024-12,Hải Phòng,86403.2258064516,11034.324745114454,88629.03225806452,10970.967552237955
2024-12,Hồ Chí Minh,86403.2258064516,11034.324745114454,88629.03225806452,10970.967552237955
2024-12,Miền Bắc,86403.2258064516,11034.324745114454,88629.03225806452,10970.967552237955
2024-12,Miền Trung,86403.2258064516,11034.324745114454,88629.03225806452,10970.967552237955
2024-12,Miền Tây,86403.2258064516,11034.324745114454,88629.03225806452,10970.967552237955
2024-12,Nha Trang,86403.2258064516,11034.324745114454,88629.03225806452,10970.967552237955
2024-12,Quảng Ngãi,86403.2258064516,11034.324745114454,88629.03225806452,10970.967552237955
2025-01,Biên Hòa,87296.7741935484,8682.145812757266,89151.6129032258,8741.962821843541
2025-01,Bạc Liêu,87296.7741935484,8682.145812757266,89151.6129032258,8741.962821843541
2025-01,Cà Mau,87296.7741935484,8682.145812757266,89151.6129032258,8741.962821843541
2025-01,Huế,87296.7741935484,8682.145812757266,89151.6129032258,8741.962821843541
2025-01,Hạ Long,87193.54838709677,8690.567127020382,89151.6129032258,8741.962821843541
2025-01,Hải Phòng,87296.7741935484,8682.145812757266,89151.6129032258,8741.962821843541
2025-01,Hồ Chí Minh,87296.7741935484,8682.145812757266,89151.6129032258,8741.962821843541
2025-01,Miền Bắc,87296.7741935484,8682.145812757266,89151.6129032258,8741.962821843541
2025-01,Miền Trung,87296.7741935484,8682.145812757266,89151.6129032258,8741.962821843541
2025-01,Miền Tây,87296.7741935484,8682.145812757266,89151.6129032258,8741.962821843541
2025-01,Nha Trang,87296.7741935484,8682.145812757266,89151.6129032258,8741.962821843541
2025-01,Quảng Ngãi,87296.7741935484,8682.145812757266,89151.6129032258,8741.962821843541
2025-02,Biên Hòa,89182.14285714286,6037.7242199866805,91828.57142857143,5882.293401503845
2025-02,Bạc Liêu,89182.14285714286,6037.7242199866805,91828.57142857143,5882.293401503845
2025-02,Cà Mau,89182.14285714286,6037.7242199866805,91828.57142857143,5882.293401503845
2025-02,Huế,89182.14285714286,6037.7242199866805,91828.57142857143,5882.293401503845
2025-02,Hạ Long,89203.57142857143,6039.038563586656,91892.85714285714,5861.3567239592785
2025-02,Hải Phòng,89182.14285714286,6037.7242199866805,91828.57142857143,5882.293401503845
2025-02,Hồ Chí Minh,89182.14285714286,6037.7242199866805,91828.57142857143,5882.293401503845
2025-02,Miền Bắc,89182.14285714286,6037.7242199866805,91828.57142857143,5882.293401503845
2025-02,Miền Trung,89182.14285714286,6037.7242199866805,91828.57142857143,5882.293401503845
2025-02,Miền Tây,89182.14285714286,6037.7242199866805,91828.57142857143,5882.293401503845
2025-02,Nha Trang,89182.14285714286,6037.7242199866805,91828.57142857143,5882.293401503845
2025-02,Quảng Ngãi,89200.0,6033.609570103489,91846.42857142857,5877.608618203753
2025-03,Biên Hòa,96306.45161290323,8316.927937801354,98306.45161290323,8327.341932208257
2025-03,Bạc Liêu,96306.45161290323,8316.927937801354,98306.45161290323,8327.341932208257
2025-03,Cà Mau,96306.45161290323,8316.927937801354,98306.45161290323,8327.341932208257
2025-03,Huế,96306.45161290323,8316.927937801354,98306.45161290323,8327.341932208257
2025-03,Hạ Long,96293.54838709677,8319.893247867672,98316.12903225806,8328.949384493964
2025-03,Hải Phòng,96306.45161290323,8316.927937801354,98306.45161290323,8327.341932208257
2025-03,Hồ Chí Minh,96306.45161290323,8316.927937801354,98306.45161290323,8327.341932208257
2025-03,Miền Bắc,96306.45161290323,8316.927937801354,98306.45161290323,8327.341932208257
2025-03,Miền Trung,96306.45161290323,8316.927937801354,98306.45161290323,8327.341932208257
2025-03,Miền Tây,96306.45161290323,8316.927937801354,98306.45161290323,8327.341932208257
2025-03,Nha Trang,96306.45161290323,8316.927937801354,98306.45161290323,8327.341932208257
2025-03,Quảng Ngãi,96306.45161290323,8316.927937801354,98306.45161290323,8327.341932208257
2025-04,Biên Hòa,109273.33333333333,9100.433234603242,111750.0,8797.677985186458
2025-04,Bạc Liêu,109273.33333333333,9100.433234603242,111750.0,8797.677985186458
2025-04,Cà Mau,109273.33333333333,9100.433234603242,111750.0,8797.677985186458
2025-04,Huế,109273.33333333333,9100.433234603242,111750.0,8797.677985186458
2025-04,Hạ Long,109183.33333333333,9026.286643726355,111910.0,8769.946722599945
2025-04,Hải Phòng,109273.33333333333,9100.433234603242,111750.0,8797.677985186458
2025-04,Hồ Chí Minh,109273.33333333333,9100.433234603242,111750.0,8797.677985186458
2025-04,Miền Bắc,109273.33333333333,9100.433234603242,111750.0,8797.677985186458
2025-04,Miền Trung,109273.33333333333,9100.433234603242,111750.0,8797.677985186458
2025-04,Miền Tây,109273.33333333333,9100.433234603242,111750.0,8797.677985186458
2025-04,Nha Trang,109273.33333333333,9100.433234603242,111750.0,8797.677985186458
2025-04,Quảng Ngãi,109206.66666666667,9083.290203419692,111816.66666666667,8818.948382585797
2025-05,Biên Hòa,119188.88888888889,677.208321797002,121188.88888888889,677.208321797002
2025-05,Bạc Liêu,119188.88888888889,677.208321797002,121188.88888888889,677.208321797002
2025-05,Cà Mau,119188.88888888889,677.208321797002,121188.88888888889,677.208321797002
2025-05,Huế,119188.88888888889,677.208321797002,121188.88888888889,677.208321797002
2025-05,Hạ Long,118133.33333333333,1336.0389215887385,121077.77777777778,736.168760845258
2025-05,Hải Phòng,119188.88888888889,677.208321797002,121188.88888888889,677.208321797002
2025-05,Hồ Chí Minh,119188.88888888889,677.208321797002,121188.88888888889,677.208321797002
2025-05,Miền Bắc,119188.88888888889,677.208321797002,121188.88888888889,677.208321797002
2025-05,Miền Trung,119188.88888888889,677.208321797002,121188.88888888889,677.208321797002
2025-05,Miền Tây,119188.88888888889,677.208321797002,121188.88888888889,677.208321797002
2025-05,Nha Trang,119188.88888888889,677.208321797002,121188.88888888889,677.208321797002
2025-05,Quảng Ngãi,119188.88888888889,677.208321797002,121188.88888888889,677.208321797002
