#,Loại (nghìn đồng/ lượng),Mua,Bán
1,Hồ Chí Minh,118200,120200
2,Miền Bắc,118200,120200
3,Hạ Long,118200,120200
4,Hải Phòng,118200,120200
5,Miền Trung,118200,120200
6,Huế,118200,120200
7,Quảng Ngãi,118200,120200
8,Nha Trang,118200,120200
9,Biên Hòa,118200,120200
10,Miền Tây,118200,120200
11,Bạc Liêu,118200,120200
12,Cà Mau,118200,120200
