Tháng,Mua,Bán
2024-11,8120.13,7844.75
2024-12,10869.51,10807.1
2025-01,8553.21,8611.39
2025-02,5937.55,5782.84
2025-03,8192.95,8203.09
2025-04,8952.51,8661.45
2025-05,772.36,647.03
