Tháng,Mua,Bán
2024-11,83980.95,86852.38
2024-12,86403.23,88629.03
2025-01,87288.17,89151.61
2025-02,89185.42,91835.42
2025-03,96305.38,98307.26
2025-04,109260.28,111768.89
2025-05,119100.93,121179.63
